motif_id,Odds_Ratio,P_Value,Foreground_Count,Background_Count,Adj_P_Value,motif_alt_id
MA0001.3,1.0011013032391318,1.0,593,553,1.0,AGL3
MA0005.3,0.9445428742644733,0.33788809612871096,598,591,0.857663300107687,AG
MA0008.4,0.9762083069571135,0.6270726204259436,869,831,0.9548974835667107,HAT5
MA0034.2,1.0756684448922076,0.5615394269805782,159,138,0.9330331158728792,Gam1
MA0054.1,0.9584253198737556,0.5614447693464525,385,375,0.9330331158728792,myb.Ph3
MA0082.2,1.0693363577202837,0.08456999683985965,1428,1247,0.5593900183357746,squamosa
MA0096.1,0.9566135698867861,0.8148037488756066,83,81,0.9979676925639887,bZIP910
MA0097.1,1.0121982028402112,0.9019674157220551,309,285,1.0,bZIP911
MA0110.4,1.0459704832439394,0.4083723894381751,745,665,0.8896235437607014,ATHB-5
MA0121.2,0.9964073268365138,1.0,111,104,1.0,ARR10
MA0123.1,0.8603162521035723,0.31703389848941405,94,102,0.8536741104218064,abi4
MA0128.1,1.049140458164857,0.5515243179733649,336,299,0.9330331158728792,EmBP-1
MA0129.1,1.1622532409106405,0.28069422708358194,122,98,0.8119327170544471,TGA1A
MA0548.3,0.9856899919306441,0.7470203639762742,1115,1056,0.981220253557993,AGL15
MA0549.2,1.0166254689427574,0.8121844820820379,453,416,0.9979676925639887,BZR2
MA0550.3,1.03935722786298,0.6670948520946859,285,256,0.9548974835667107,BZR1
MA0551.2,1.0458230517264109,0.4836597716509038,522,466,0.9053561594897231,HY5
MA0553.1,0.9914009941890051,0.9478489520719863,120,113,1.0,SMZ
MA0554.2,1.0391816317843445,0.293766873870555,1616,1452,0.8319477868014117,SOC1
MA0555.2,0.9490482536594399,0.20541341493004434,1214,1194,0.7129053812278009,SVP
MA0556.2,0.9605541472695925,0.33388983076091916,1205,1171,0.857663300107687,AP3
MA0557.2,1.1785147699956853,0.18517634970227959,154,122,0.701521379667639,FHY3
MA0558.2,1.0233545255743093,0.5196528795450299,1643,1499,0.9238814193852523,FLC
MA0559.1,1.0112631018316476,0.673352573687296,3023,2791,0.9548974835667107,PI
MA0560.2,1.050843131324683,0.606797266780836,242,215,0.9548732385695337,PIF3
MA0561.1,1.07392752760898,0.30936856460647943,467,406,0.8432604508379036,PIF4
MA0562.1,1.005588548038699,0.9419133565608551,391,363,1.0,PIF5
MA0563.2,0.9929754600445556,0.882100788398678,1153,1084,1.0,SEP3
MA0565.3,0.7614438042359943,0.001594416459053264,248,304,0.04341718665421965,FUS3
MA0566.1,1.0846605200198862,0.34242381872608124,316,272,0.857663300107687,MYC2
MA0567.1,0.8233590054685165,0.08011107819999655,157,178,0.5472706498522384,ERF1B
MA0569.2,1.0457490895475055,0.5273721909072857,429,383,0.9238814193852523,MYC4
MA0570.3,0.9954394535579031,0.950964031697381,547,513,1.0,ABF1
MA0571.2,0.928323054329554,0.4914276881258327,178,179,0.9053561594897231,ANT
MA0573.2,0.9919143065864826,0.9306307112053148,272,256,1.0,ATHB-9
MA0574.1,1.3243844686221684,0.010803015176756733,200,141,0.15934447385716183,MYB15
MA0575.2,0.9805788176029671,0.905654031561808,146,139,1.0,MYB77
