Motif_ID,Real_Score_Sum,Shuffled_Mean_Score,P_Value,Adj_P_Value
# FIMO (Find Individual Motif Occurrences): Version 5.5.7 compiled on Sep  9 2024 at 10:28:28,0.0,0.0,1.0,1.0
# The format of this file is described at https://meme-suite.org/meme/doc/fimo-output-format.html#tsv_results.,0.0,0.0,1.0,1.0
# fimo --oc /home/15712745/personal/TF_prediction_genomes/MEME/FIMO_folder/Shuffled_control/fimo_real_output_Lotus_Cluster6 /home/15712745/personal/TF_prediction_genomes/TF_bindingsite_motifs/ALL_plant_motifs_JASPAR.meme /home/15712745/personal/Gene_selection/selected_upstream_sequences_Lotus_cluster6.fasta,0.0,0.0,1.0,1.0
MA0001.3,3961.318,3180.749729999998,0.009900990099009901,0.01832460732984293
MA0005.3,3716.8785,3187.7868289999997,0.019801980198019802,0.035175879396984924
MA0008.4,4993.42688,5786.232265399999,0.9900990099009901,1.0
MA0034.2,1132.1317000000001,917.6541340000002,0.0297029702970297,0.0521091811414392
MA0054.1,1800.6386,2864.1019079999996,1.0,1.0
MA0082.2,8788.5645,5759.571442000001,0.009900990099009901,0.01832460732984293
MA0096.1,505.2489,691.284136,0.9801980198019802,1.0
MA0097.1,991.59561,506.23785909999975,0.009900990099009901,0.01832460732984293
MA0110.4,3839.9278,4095.6853469999996,0.8712871287128713,1.0
MA0121.2,538.0004,609.9167799999999,0.8316831683168316,1.0
MA0123.1,629.5391,408.525467,0.009900990099009901,0.01832460732984293
MA0128.1,1914.6122,950.3254140000001,0.009900990099009901,0.01832460732984293
MA0129.1,561.603,1236.84099,1.0,1.0
MA0548.3,6641.93987,3843.989561899999,0.009900990099009901,0.01832460732984293
MA0549.2,2777.5003,858.9912010000006,0.009900990099009901,0.01832460732984293
MA0550.3,2026.95372,859.5632267000001,0.009900990099009901,0.01832460732984293
MA0551.2,2681.1996,770.2924302000002,0.009900990099009901,0.01832460732984293
MA0553.1,811.2367,1035.4189749999998,0.9801980198019802,1.0
MA0554.2,9896.00085,4551.780550700002,0.009900990099009901,0.01832460732984293
MA0555.2,7544.76883,3719.2674627,0.009900990099009901,0.01832460732984293
MA0556.2,7842.5863,3512.2557489999995,0.009900990099009901,0.01832460732984293
MA0557.2,846.5436,686.6477299999997,0.04950495049504951,0.08515815085158152
MA0558.2,9963.7856,4308.4010804,0.009900990099009901,0.01832460732984293
MA0559.1,18728.7181,3898.9478629999994,0.009900990099009901,0.01832460732984293
MA0560.2,1522.0430999999999,417.25920300000007,0.009900990099009901,0.01832460732984293
MA0561.1,2827.5599,875.74692,0.009900990099009901,0.01832460732984293
